country_year_id,umap_1,umap_2
Austria_2024_10232,4.7549715,8.623974
Austria_2024_10314,-2.758253,5.651365
Austria_2024_10475,-1.6975043,6.298174
Austria_2024_10656,-2.4728045,6.4907713
Austria_2024_10708,6.07563,8.943015
Austria_2024_10819,-0.84166664,9.478729
Austria_2024_10956,0.96031,9.600779
Austria_2024_11032,6.580027,10.610071
Austria_2024_11064,5.9286265,12.169268
Austria_2024_11221,1.3246497,5.817426
Austria_2024_11239,6.5196843,10.983038
Austria_2024_11256,4.5659614,5.4584556
Austria_2024_11271,8.813373,6.5142894
Austria_2024_11311,2.3760571,3.985671
Austria_2024_11539,3.61526,4.4481397
Austria_2024_11628,2.294467,3.784938
Austria_2024_11645,4.334752,8.282127
Austria_2024_11837,4.0755534,7.756594
Austria_2024_11854,2.6173491,11.104903
Austria_2024_11887,3.6743238,9.413892
Austria_2024_11903,6.976104,11.197462
Austria_2024_11968,3.1214879,10.350561
Austria_2024_11997,6.094562,5.765537
Austria_2024_12006,1.249748,5.361392
Austria_2024_12110,8.930872,10.08069
Austria_2024_12546,7.929925,5.077306
Austria_2024_12644,5.7496743,6.790155
Austria_2024_12666,7.1373844,6.8146105
Austria_2024_12748,5.08973,9.118075
Austria_2024_12894,3.9806821,6.440082
Austria_2024_12978,4.671005,12.325588
Austria_2024_12991,8.87081,4.3654494
Austria_2024_13019,0.7426249,9.971969
Austria_2024_13042,-1.075987,8.47901
Austria_2024_13129,-2.599255,5.5998483
Austria_2024_13158,-1.2310884,10.19559
Austria_2024_13228,-1.667743,8.0370865
Austria_2024_13357,5.1639056,9.598002
Austria_2024_13406,-2.6275587,8.12896
Austria_2024_13702,-2.1036181,6.808035
Austria_2024_13770,-2.3190691,8.203398
Austria_2024_13853,-1.2335899,9.634966
Austria_2024_13891,9.90376,11.644377
Austria_2024_14044,-1.5788363,9.231211
Austria_2024_14056,2.4251032,9.362063
Austria_2024_14327,6.68846,7.590441
Austria_2024_14577,6.0408974,7.3892164
Austria_2024_14767,5.5441575,8.5232
Austria_2024_14821,1.5729516,6.9093995
Austria_2024_14866,7.0695834,7.1810927
Austria_2024_14954,6.364725,13.157768
Austria_2024_15020,0.40088415,4.273216
Austria_2024_15030,2.8441834,6.597666
Austria_2024_15149,4.85905,6.454303
Austria_2024_15238,3.5411012,4.441459
Austria_2024_15580,4.617661,8.080372
Austria_2024_15784,2.963357,10.4935465
Austria_2024_15808,-0.79215616,7.5794425
Austria_2024_15973,2.4199562,4.9329057
Austria_2024_16003,-2.109526,6.2652693
Austria_2024_16173,7.364,10.144176
Austria_2024_16301,6.2450194,13.018746
Austria_2024_16557,1.1484929,5.288461
Austria_2024_17178,1.6633136,10.171412
Austria_2024_17458,4.2568774,2.8963497
Austria_2024_17476,2.09613,4.3875422
Austria_2024_17536,1.8543509,7.9514923
Austria_2024_17646,6.49966,4.6117864
Austria_2024_17649,1.9127917,9.247388
Austria_2024_17762,9.207665,10.428815
Austria_2024_17899,6.914097,8.504033
Austria_2024_17986,2.1990283,5.126346
Austria_2024_18194,2.1842117,9.702667
Austria_2024_18286,3.579613,4.204582
Austria_2024_18345,-0.35292038,8.410229
Austria_2024_18373,2.6569104,10.944684
Austria_2024_18458,1.7494131,8.568885
Austria_2024_18661,7.1514106,10.177711
Austria_2024_18672,-0.08000392,6.4165235
Austria_2024_19075,3.380927,3.7831
Austria_2024_19180,7.7958255,2.6901708
Austria_2024_19227,0.9148279,9.516706
Austria_2024_19233,-2.896134,5.382134
Austria_2024_19265,9.5041485,2.664799
Austria_2024_19833,10.726664,6.780598
Austria_2024_20130,-2.9714897,6.6352296
Austria_2024_20154,2.7451365,5.3013725
Austria_2024_20206,-2.390885,7.234116
Austria_2024_20234,4.577767,9.711527
Austria_2024_20282,0.6836416,4.8307443
Austria_2024_20544,1.9449732,5.5191765
Austria_2024_20658,-0.504252,11.06024
Austria_2024_21201,5.328509,7.6901913
Austria_2024_21252,4.646918,7.3353143
Austria_2024_68,6.5987988,12.596331
Austria_2024_101,4.4489107,12.799103
Austria_2024_160,6.313294,11.795977
Austria_2024_166,6.0645623,10.641446
Austria_2024_186,4.3740554,11.007252
Austria_2024_246,-1.473886,9.0725155
Austria_2024_307,2.567245,6.1899257
Austria_2024_491,0.7581115,7.625018
Austria_2024_676,-0.038938697,7.7041707
Austria_2024_754,5.1832676,10.007164
Austria_2024_802,5.096873,10.268257
Austria_2024_880,4.42271,12.139033
Austria_2024_985,3.5417893,10.6051035
Austria_2024_1158,7.4630594,10.170585
Austria_2024_1201,-1.508475,9.087898
Austria_2024_1730,3.8349824,5.5766897
Austria_2024_2244,1.6128646,8.934707
Austria_2024_2285,3.5845795,3.2223835
Austria_2024_2346,5.3955684,8.973877
Austria_2024_2423,10.877721,10.306836
Austria_2024_2574,4.310334,6.7483377
Austria_2024_2823,-1.3107349,9.389054
Austria_2024_2911,0.79879326,11.123318
Austria_2024_3205,4.2289996,6.9063816
Austria_2024_3262,-2.9471254,5.7065344
Austria_2024_3380,3.9684668,5.4747596
Austria_2024_3563,9.368138,6.850765
Austria_2024_3643,1.1934233,5.27396
Austria_2024_3936,6.5305214,10.215627
Austria_2024_4040,6.1537323,5.8870463
Austria_2024_4047,5.8504295,10.988906
Austria_2024_4056,0.32079384,6.942666
Austria_2024_4193,3.7284238,7.624049
Austria_2024_4266,5.0952563,7.052778
Austria_2024_4329,8.570127,1.9929471
Austria_2024_4452,4.07775,12.217667
Austria_2024_4503,3.4725218,4.389899
Austria_2024_4852,3.2363842,5.244783
Austria_2024_4978,0.30573833,8.0362
Austria_2024_4989,-3.2183187,5.688717
Austria_2024_5026,8.090748,6.967973
Austria_2024_5222,7.8961186,9.75884
Austria_2024_5384,2.5943286,3.681656
Austria_2024_5418,-0.58099127,6.2983828
Austria_2024_5594,-0.5257292,9.526288
Austria_2024_5662,3.0929494,7.79361
Austria_2024_5827,1.1794866,9.431043
Austria_2024_6275,6.5758905,5.660584
Austria_2024_6713,7.1168213,12.008245
Austria_2024_6782,2.8217487,4.111048
Austria_2024_7006,1.1181282,10.933613
Austria_2024_7286,1.0093485,8.676081
Austria_2024_7502,3.250318,11.634505
Austria_2024_7512,1.9158162,6.6794004
Austria_2024_7568,5.009735,5.5649424
Austria_2024_7631,2.7850688,4.738866
Austria_2024_7684,10.870489,9.897323
Austria_2024_7811,4.167503,5.8305745
Austria_2024_8052,2.7595823,6.6081715
Austria_2024_8124,4.9509096,8.951573
Austria_2024_8184,9.814334,1.3327353
Austria_2024_8459,1.2289646,7.33007
Austria_2024_8543,2.0053923,8.126976
Austria_2024_8548,4.0664105,3.9777484
Austria_2024_8590,6.699366,12.653791
Austria_2024_8690,5.110578,11.119209
Austria_2024_8693,4.4013166,8.859068
Austria_2024_8870,5.926242,9.349178
Austria_2024_8874,0.14657994,11.062116
Austria_2024_8877,7.467208,7.652511
Austria_2024_8975,4.3798795,9.070253
Austria_2024_9043,4.415908,6.8995857
Austria_2024_9199,2.9803529,8.631037
Austria_2024_9274,6.742371,11.726786
Austria_2024_9344,-0.45727593,9.349145
Austria_2024_9368,7.0677757,10.898434
Austria_2024_9431,5.621078,5.5311017
Austria_2024_9628,4.506933,12.149872
Austria_2024_9652,1.040036,6.7945204
Austria_2024_9860,4.7503285,9.511306
Austria_2024_9884,0.3382464,6.7984753
Austria_2024_9994,4.356446,7.193633
Austria_2024_10043,0.54501384,10.231014
Austria_2024_10212,5.160005,7.001683
Austria_2024_10375,7.199627,10.678973
Austria_2024_10500,3.3709636,7.071714
Austria_2024_10537,5.1913524,10.350641
Austria_2024_10665,-2.6695342,5.606469
Austria_2024_10744,3.8556697,8.763436
Austria_2024_10923,6.780764,6.7372394
Austria_2024_11036,3.2566836,8.398018
Austria_2024_11122,-0.6823004,5.9665895
Austria_2024_11268,2.7710404,7.7579217
Austria_2024_11303,1.2454697,10.18112
Austria_2024_11475,1.1893284,10.355308
Austria_2024_11873,1.0332931,9.263123
Austria_2024_11928,-0.78421986,8.61655
Austria_2024_11967,0.30298594,10.556012
Austria_2024_12040,0.86363816,4.7817736
Austria_2024_12292,6.6815796,8.533315
Austria_2024_12296,2.7585034,7.7520604
Austria_2024_12459,0.49214157,7.110419
Austria_2024_12475,8.405929,7.5090103
Austria_2024_12490,7.955285,12.266206
Austria_2024_12709,9.763965,6.3076286
